"as_of","location","target","target_end_date","observation"
2026-03-08,"NY","wk inc covid hosp",2020-08-08,517
2026-03-08,"NY","wk inc covid hosp",2020-08-15,490
2026-03-08,"NY","wk inc covid hosp",2020-08-22,844
2026-03-08,"NY","wk inc covid hosp",2020-08-29,483
2026-03-08,"NY","wk inc covid hosp",2020-09-05,479
2026-03-08,"NY","wk inc covid hosp",2020-09-12,573
2026-03-08,"NY","wk inc covid hosp",2020-09-19,578
2026-03-08,"NY","wk inc covid hosp",2020-09-26,656
2026-03-08,"NY","wk inc covid hosp",2020-10-03,851
2026-03-08,"NY","wk inc covid hosp",2020-10-10,840
2026-03-08,"NY","wk inc covid hosp",2020-10-17,999
2026-03-08,"NY","wk inc covid hosp",2020-10-24,966
2026-03-08,"NY","wk inc covid hosp",2020-10-31,982
2026-03-08,"NY","wk inc covid hosp",2020-11-07,1238
2026-03-08,"NY","wk inc covid hosp",2020-11-14,2112
2026-03-08,"NY","wk inc covid hosp",2020-11-21,2535
2026-03-08,"NY","wk inc covid hosp",2020-11-28,3162
2026-03-08,"NY","wk inc covid hosp",2020-12-05,4105
2026-03-08,"NY","wk inc covid hosp",2020-12-12,5066
2026-03-08,"NY","wk inc covid hosp",2020-12-19,5568
2026-03-08,"NY","wk inc covid hosp",2020-12-26,6211
2026-03-08,"NY","wk inc covid hosp",2021-01-02,6617
2026-03-08,"NY","wk inc covid hosp",2021-01-09,7349
2026-03-08,"NY","wk inc covid hosp",2021-01-16,7179
2026-03-08,"NY","wk inc covid hosp",2021-01-23,6627
2026-03-08,"NY","wk inc covid hosp",2021-01-30,6011
2026-03-08,"NY","wk inc covid hosp",2021-02-06,5524
2026-03-08,"NY","wk inc covid hosp",2021-02-13,4962
2026-03-08,"NY","wk inc covid hosp",2021-02-20,4115
2026-03-08,"NY","wk inc covid hosp",2021-02-27,4150
2026-03-08,"NY","wk inc covid hosp",2021-03-06,3773
2026-03-08,"NY","wk inc covid hosp",2021-03-13,3677
2026-03-08,"NY","wk inc covid hosp",2021-03-20,3693
2026-03-08,"NY","wk inc covid hosp",2021-03-27,3958
2026-03-08,"NY","wk inc covid hosp",2021-04-03,3721
2026-03-08,"NY","wk inc covid hosp",2021-04-10,3582
2026-03-08,"NY","wk inc covid hosp",2021-04-17,3258
2026-03-08,"NY","wk inc covid hosp",2021-04-24,2814
2026-03-08,"NY","wk inc covid hosp",2021-05-01,2182
2026-03-08,"NY","wk inc covid hosp",2021-05-08,1795
2026-03-08,"NY","wk inc covid hosp",2021-05-15,1436
2026-03-08,"NY","wk inc covid hosp",2021-05-22,1209
2026-03-08,"NY","wk inc covid hosp",2021-05-29,987
2026-03-08,"NY","wk inc covid hosp",2021-06-05,713
2026-03-08,"NY","wk inc covid hosp",2021-06-12,604
2026-03-08,"NY","wk inc covid hosp",2021-06-19,464
2026-03-08,"NY","wk inc covid hosp",2021-06-26,413
2026-03-08,"NY","wk inc covid hosp",2021-07-03,383
2026-03-08,"NY","wk inc covid hosp",2021-07-10,380
2026-03-08,"NY","wk inc covid hosp",2021-07-17,442
2026-03-08,"NY","wk inc covid hosp",2021-07-24,613
2026-03-08,"NY","wk inc covid hosp",2021-07-31,806
2026-03-08,"NY","wk inc covid hosp",2021-08-07,1204
2026-03-08,"NY","wk inc covid hosp",2021-08-14,1757
2026-03-08,"NY","wk inc covid hosp",2021-08-21,1893
2026-03-08,"NY","wk inc covid hosp",2021-08-28,2005
2026-03-08,"NY","wk inc covid hosp",2021-09-04,2111
2026-03-08,"NY","wk inc covid hosp",2021-09-11,2052
2026-03-08,"NY","wk inc covid hosp",2021-09-18,2064
2026-03-08,"NY","wk inc covid hosp",2021-09-25,2034
2026-03-08,"NY","wk inc covid hosp",2021-10-02,1897
2026-03-08,"NY","wk inc covid hosp",2021-10-09,1906
2026-03-08,"NY","wk inc covid hosp",2021-10-16,1990
2026-03-08,"NY","wk inc covid hosp",2021-10-23,1785
2026-03-08,"NY","wk inc covid hosp",2021-10-30,1621
2026-03-08,"NY","wk inc covid hosp",2021-11-06,1628
2026-03-08,"NY","wk inc covid hosp",2021-11-13,1828
2026-03-08,"NY","wk inc covid hosp",2021-11-20,2226
2026-03-08,"NY","wk inc covid hosp",2021-11-27,2622
2026-03-08,"NY","wk inc covid hosp",2021-12-04,3035
2026-03-08,"NY","wk inc covid hosp",2021-12-11,3251
2026-03-08,"NY","wk inc covid hosp",2021-12-18,3505
2026-03-08,"NY","wk inc covid hosp",2021-12-25,4755
2026-03-08,"NY","wk inc covid hosp",2022-01-01,9010
2026-03-08,"NY","wk inc covid hosp",2022-01-08,11833
2026-03-08,"NY","wk inc covid hosp",2022-01-15,11184
2026-03-08,"NY","wk inc covid hosp",2022-01-22,8357
2026-03-08,"NY","wk inc covid hosp",2022-01-29,6412
2026-03-08,"NY","wk inc covid hosp",2022-02-05,4486
2026-03-08,"NY","wk inc covid hosp",2022-02-12,2959
2026-03-08,"NY","wk inc covid hosp",2022-02-19,2339
2026-03-08,"NY","wk inc covid hosp",2022-02-26,1493
2026-03-08,"NY","wk inc covid hosp",2022-03-05,1256
2026-03-08,"NY","wk inc covid hosp",2022-03-12,1506
2026-03-08,"NY","wk inc covid hosp",2022-03-19,825
2026-03-08,"NY","wk inc covid hosp",2022-03-26,772
2026-03-08,"NY","wk inc covid hosp",2022-04-02,876
2026-03-08,"NY","wk inc covid hosp",2022-04-09,1089
2026-03-08,"NY","wk inc covid hosp",2022-04-16,1371
2026-03-08,"NY","wk inc covid hosp",2022-04-23,1709
2026-03-08,"NY","wk inc covid hosp",2022-04-30,2053
2026-03-08,"NY","wk inc covid hosp",2022-05-07,2526
2026-03-08,"NY","wk inc covid hosp",2022-05-14,2761
2026-03-08,"NY","wk inc covid hosp",2022-05-21,2836
2026-03-08,"NY","wk inc covid hosp",2022-05-28,2600
2026-03-08,"NY","wk inc covid hosp",2022-06-04,2200
2026-03-08,"NY","wk inc covid hosp",2022-06-11,1888
2026-03-08,"NY","wk inc covid hosp",2022-06-18,1840
2026-03-08,"NY","wk inc covid hosp",2022-06-25,1871
2026-03-08,"NY","wk inc covid hosp",2022-07-02,2050
2026-03-08,"NY","wk inc covid hosp",2022-07-09,2289
2026-03-08,"NY","wk inc covid hosp",2022-07-16,2559
2026-03-08,"NY","wk inc covid hosp",2022-07-23,2657
2026-03-08,"NY","wk inc covid hosp",2022-07-30,2631
2026-03-08,"NY","wk inc covid hosp",2022-08-06,2514
2026-03-08,"NY","wk inc covid hosp",2022-08-13,2309
2026-03-08,"NY","wk inc covid hosp",2022-08-20,2303
2026-03-08,"NY","wk inc covid hosp",2022-08-27,2180
2026-03-08,"NY","wk inc covid hosp",2022-09-03,2047
2026-03-08,"NY","wk inc covid hosp",2022-09-10,1910
2026-03-08,"NY","wk inc covid hosp",2022-09-17,1940
2026-03-08,"NY","wk inc covid hosp",2022-09-24,2157
